coin,market_class,underlying,period,target_price,market_name,trades,traders,volume,avg_px
#3041,,,,0,,121,28,12258.03233,0.6373759504132231
#7590,,,,0,,171,24,12255.20276,0.7934126315789474
#7831,,,,0,,274,22,12215.09786,0.6282690145985401
#7980,,,,0,,296,20,12190.33119,0.6002977702702703
#8000,,,,0,,523,30,12168.37344,0.47688411089866156
#8160,,,,0,,324,30,12166.60982,0.5645975308641975
#1150,priceBucket,BTC,1d,0,Recurring Named Outcome,795,33,12144.99276311,0.1737488669937107
#8531,,,,0,,203,17,11974.40765,0.44205719211822664
#3010,,,,0,,16,5,11962.08321394,0.32291666375
#7261,,,,0,,477,9,11956.16949,0.9844193291404612
#5431,,,,0,,83,12,11873.57978,0.7373460240963855
#9141,,,,0,,148,24,11852.28511,0.6356265540540541
#7921,,,,0,,387,17,11842.02241,0.5205509043927649
#5470,,,,0,,307,23,11834.85408,0.5444507817589577
#340,priceBucket,BTC,1d,0,Recurring Named Outcome,467,40,11798.57390272,0.13220338978586724
#4270,,,,0,,295,20,11791.52824,0.43499593220338983
#1680,priceBucket,BTC,1d,0,Recurring Named Outcome,469,36,11759.41379841,0.1941544696162047
#1480,priceBucket,BTC,1d,0,Recurring Named Outcome,1856,37,11710.3668282,0.20367063662176724
#3201,,,,0,,82,23,11682.25541,0.818524512195122
#4070,,,,0,,217,26,11615.65472117,0.636566067235023
#8670,,,,0,,254,14,11607.70657,0.6421593700787401
#8590,,,,0,,168,25,11598.16403,0.6766633333333333
#4161,,,,0,,90,17,11585.80452,0.847995
#1341,priceBucket,BTC,1d,0,Recurring Named Outcome,346,26,11577.10419,0.22106742774566474
#5391,,,,0,,222,21,11495.74321,0.6418400450450451
#7751,,,,0,,117,13,11458.01001,0.8317076068376069
#8481,,,,0,,216,20,11374.38668,0.8268015740740741
#2551,,,,0,,245,19,11309.95602,0.38941322448979593
#1320,priceBucket,BTC,1d,0,Recurring Fallback,263,5,11293.83325428,0.32160962958174905
#7041,,,,0,,64,11,11292.50506,0.9166309375
#1170,priceBucket,BTC,1d,0,Recurring Fallback,232,7,11273.49992494,0.31501436521551723
#4241,,,,0,,113,22,11268.61505,0.9192465486725664
#7441,,,,0,,173,14,11187.86639,0.7910859537572253
#1751,named,,,0,Austria,101,12,11179.33024,0.9318008910891089
#1831,named,,,0,Croatia,17,7,11179.22421,0.9065664705882354
#2700,,,,0,,251,19,11177.6343588,0.22254315976095618
#7350,,,,0,,145,26,11163.25722,0.8039466206896552
